Country,srcYear,srcCalendarDay,ASI Monuments,Number of Tourists,YearCode,Year,DayCode,CalendarDay
India,2019,22-Aug-2019,Qutub Minar,6321,2019,"Financial Year (Apr - Mar), 2019",20190822,2019-08-22
India,2019,22-Aug-2019,Red Fort,8203,2019,"Financial Year (Apr - Mar), 2019",20190822,2019-08-22
India,2019,22-Aug-2019,Taj Mahal,20526,2019,"Financial Year (Apr - Mar), 2019",20190822,2019-08-22
India,2019,22-Aug-2019,Agra Fort,6255,2019,"Financial Year (Apr - Mar), 2019",20190822,2019-08-22
India,2019,23-Aug-2019,Taj Mahal,0,2019,"Financial Year (Apr - Mar), 2019",20190823,2019-08-23
India,2019,23-Aug-2019,Qutub Minar,6638,2019,"Financial Year (Apr - Mar), 2019",20190823,2019-08-23
India,2019,23-Aug-2019,Agra Fort,6082,2019,"Financial Year (Apr - Mar), 2019",20190823,2019-08-23
India,2019,23-Aug-2019,Red Fort,8936,2019,"Financial Year (Apr - Mar), 2019",20190823,2019-08-23
India,2019,24-Aug-2019,Agra Fort,7226,2019,"Financial Year (Apr - Mar), 2019",20190824,2019-08-24
India,2019,24-Aug-2019,Taj Mahal,27361,2019,"Financial Year (Apr - Mar), 2019",20190824,2019-08-24
India,2019,24-Aug-2019,Qutub Minar,8731,2019,"Financial Year (Apr - Mar), 2019",20190824,2019-08-24
India,2019,24-Aug-2019,Red Fort,9225,2019,"Financial Year (Apr - Mar), 2019",20190824,2019-08-24
India,2019,25-Aug-2019,Qutub Minar,11750,2019,"Financial Year (Apr - Mar), 2019",20190825,2019-08-25
India,2019,25-Aug-2019,Red Fort,12647,2019,"Financial Year (Apr - Mar), 2019",20190825,2019-08-25
India,2019,25-Aug-2019,Taj Mahal,28038,2019,"Financial Year (Apr - Mar), 2019",20190825,2019-08-25
India,2019,25-Aug-2019,Agra Fort,8234,2019,"Financial Year (Apr - Mar), 2019",20190825,2019-08-25
India,2019,26-Aug-2019,Red Fort,0,2019,"Financial Year (Apr - Mar), 2019",20190826,2019-08-26
India,2019,26-Aug-2019,Taj Mahal,16225,2019,"Financial Year (Apr - Mar), 2019",20190826,2019-08-26
India,2019,26-Aug-2019,Qutub Minar,5821,2019,"Financial Year (Apr - Mar), 2019",20190826,2019-08-26
India,2019,26-Aug-2019,Agra Fort,4487,2019,"Financial Year (Apr - Mar), 2019",20190826,2019-08-26
India,2019,27-Aug-2019,Taj Mahal,12902,2019,"Financial Year (Apr - Mar), 2019",20190827,2019-08-27
India,2019,27-Aug-2019,Red Fort,9363,2019,"Financial Year (Apr - Mar), 2019",20190827,2019-08-27
India,2019,27-Aug-2019,Qutub Minar,4897,2019,"Financial Year (Apr - Mar), 2019",20190827,2019-08-27
India,2019,27-Aug-2019,Agra Fort,4103,2019,"Financial Year (Apr - Mar), 2019",20190827,2019-08-27
India,2019,28-Aug-2019,Taj Mahal,13168,2019,"Financial Year (Apr - Mar), 2019",20190828,2019-08-28
India,2019,28-Aug-2019,Qutub Minar,5135,2019,"Financial Year (Apr - Mar), 2019",20190828,2019-08-28
India,2019,28-Aug-2019,Red Fort,7971,2019,"Financial Year (Apr - Mar), 2019",20190828,2019-08-28
India,2019,28-Aug-2019,Agra Fort,3693,2019,"Financial Year (Apr - Mar), 2019",20190828,2019-08-28
India,2019,29-Aug-2019,Agra Fort,3655,2019,"Financial Year (Apr - Mar), 2019",20190829,2019-08-29
India,2019,29-Aug-2019,Red Fort,6957,2019,"Financial Year (Apr - Mar), 2019",20190829,2019-08-29
India,2019,29-Aug-2019,Qutub Minar,4998,2019,"Financial Year (Apr - Mar), 2019",20190829,2019-08-29
India,2019,29-Aug-2019,Taj Mahal,14013,2019,"Financial Year (Apr - Mar), 2019",20190829,2019-08-29
India,2019,30-Aug-2019,Agra Fort,2949,2019,"Financial Year (Apr - Mar), 2019",20190830,2019-08-30
India,2019,30-Aug-2019,Qutub Minar,5627,2019,"Financial Year (Apr - Mar), 2019",20190830,2019-08-30
India,2019,30-Aug-2019,Taj Mahal,0,2019,"Financial Year (Apr - Mar), 2019",20190830,2019-08-30
India,2019,30-Aug-2019,Red Fort,7054,2019,"Financial Year (Apr - Mar), 2019",20190830,2019-08-30
India,2019,31-Aug-2019,Qutub Minar,6246,2019,"Financial Year (Apr - Mar), 2019",20190831,2019-08-31
India,2019,31-Aug-2019,Agra Fort,4781,2019,"Financial Year (Apr - Mar), 2019",20190831,2019-08-31
India,2019,31-Aug-2019,Red Fort,7971,2019,"Financial Year (Apr - Mar), 2019",20190831,2019-08-31
India,2019,31-Aug-2019,Taj Mahal,18374,2019,"Financial Year (Apr - Mar), 2019",20190831,2019-08-31
India,2019,01-Sep-2019,Red Fort,12502,2019,"Financial Year (Apr - Mar), 2019",20190901,2019-09-01
India,2019,01-Sep-2019,Qutub Minar,12294,2019,"Financial Year (Apr - Mar), 2019",20190901,2019-09-01
India,2019,01-Sep-2019,Agra Fort,5896,2019,"Financial Year (Apr - Mar), 2019",20190901,2019-09-01
India,2019,01-Sep-2019,Taj Mahal,2005,2019,"Financial Year (Apr - Mar), 2019",20190901,2019-09-01
India,2019,02-Sep-2019,Taj Mahal,12499,2019,"Financial Year (Apr - Mar), 2019",20190902,2019-09-02
India,2019,02-Sep-2019,Qutub Minar,5778,2019,"Financial Year (Apr - Mar), 2019",20190902,2019-09-02
India,2019,02-Sep-2019,Red Fort,0,2019,"Financial Year (Apr - Mar), 2019",20190902,2019-09-02
India,2019,02-Sep-2019,Agra Fort,4007,2019,"Financial Year (Apr - Mar), 2019",20190902,2019-09-02
India,2019,03-Sep-2019,Red Fort,7928,2019,"Financial Year (Apr - Mar), 2019",20190903,2019-09-03
India,2019,03-Sep-2019,Taj Mahal,11148,2019,"Financial Year (Apr - Mar), 2019",20190903,2019-09-03
India,2019,03-Sep-2019,Qutub Minar,5478,2019,"Financial Year (Apr - Mar), 2019",20190903,2019-09-03
India,2019,03-Sep-2019,Agra Fort,3341,2019,"Financial Year (Apr - Mar), 2019",20190903,2019-09-03
India,2019,04-Sep-2019,Agra Fort,3855,2019,"Financial Year (Apr - Mar), 2019",20190904,2019-09-04
India,2019,04-Sep-2019,Taj Mahal,12954,2019,"Financial Year (Apr - Mar), 2019",20190904,2019-09-04
India,2019,04-Sep-2019,Qutub Minar,4882,2019,"Financial Year (Apr - Mar), 2019",20190904,2019-09-04
India,2019,04-Sep-2019,Red Fort,6774,2019,"Financial Year (Apr - Mar), 2019",20190904,2019-09-04
India,2019,05-Sep-2019,Red Fort,6405,2019,"Financial Year (Apr - Mar), 2019",20190905,2019-09-05
India,2019,05-Sep-2019,Qutub Minar,5014,2019,"Financial Year (Apr - Mar), 2019",20190905,2019-09-05
India,2019,05-Sep-2019,Agra Fort,4137,2019,"Financial Year (Apr - Mar), 2019",20190905,2019-09-05
India,2019,05-Sep-2019,Taj Mahal,13649,2019,"Financial Year (Apr - Mar), 2019",20190905,2019-09-05
India,2019,06-Sep-2019,Red Fort,7236,2019,"Financial Year (Apr - Mar), 2019",20190906,2019-09-06
India,2019,06-Sep-2019,Agra Fort,3301,2019,"Financial Year (Apr - Mar), 2019",20190906,2019-09-06
India,2019,06-Sep-2019,Taj Mahal,0,2019,"Financial Year (Apr - Mar), 2019",20190906,2019-09-06
India,2019,06-Sep-2019,Qutub Minar,5126,2019,"Financial Year (Apr - Mar), 2019",20190906,2019-09-06
India,2019,07-Sep-2019,Taj Mahal,22682,2019,"Financial Year (Apr - Mar), 2019",20190907,2019-09-07
India,2019,07-Sep-2019,Agra Fort,6237,2019,"Financial Year (Apr - Mar), 2019",20190907,2019-09-07
India,2019,07-Sep-2019,Qutub Minar,6723,2019,"Financial Year (Apr - Mar), 2019",20190907,2019-09-07
India,2019,07-Sep-2019,Red Fort,8048,2019,"Financial Year (Apr - Mar), 2019",20190907,2019-09-07
India,2019,08-Sep-2019,Red Fort,13574,2019,"Financial Year (Apr - Mar), 2019",20190908,2019-09-08
India,2019,08-Sep-2019,Agra Fort,6898,2019,"Financial Year (Apr - Mar), 2019",20190908,2019-09-08
India,2019,08-Sep-2019,Taj Mahal,22372,2019,"Financial Year (Apr - Mar), 2019",20190908,2019-09-08
India,2019,08-Sep-2019,Qutub Minar,11886,2019,"Financial Year (Apr - Mar), 2019",20190908,2019-09-08
India,2019,09-Sep-2019,Qutub Minar,6451,2019,"Financial Year (Apr - Mar), 2019",20190909,2019-09-09
